Time,SWE,SnowAcc,Density
12/18/20 1:45,0.8445338100000,13.850484000000,63.311303
12/18/20 1:46,0.8462215300000,13.877700000000,62.012261
12/18/20 1:47,0.8478478600000,13.903150000000,63.900676
12/18/20 1:48,0.8493230400000,13.925784000000,65.177082
12/18/20 1:49,0.8502946600000,13.940533000000,65.875972
12/18/20 1:50,0.8511431000000,13.953718000000,64.347592
12/18/20 1:51,0.8523201800000,13.972326000000,63.258411
12/18/20 1:52,0.8534251300000,13.989659000000,63.747276
12/18/20 1:53,0.8546594100000,14.008942000000,64.009621
12/18/20 1:54,0.8561701400000,14.032345000000,64.552351
12/18/20 1:55,0.8571879800000,14.047920000000,65.352123
12/18/20 1:56,0.8579698100000,14.059893000000,65.296320
12/18/20 1:57,0.8588062300000,14.072459000000,66.563413
12/18/20 1:58,0.8592883500000,14.079661000000,66.946297
12/18/20 1:59,0.8598164300000,14.087703000000,65.663841
12/18/20 2:00,0.8607950200000,14.102539000000,65.958305
12/18/20 2:01,0.8613055600000,14.110165000000,66.949828
12/18/20 2:02,0.8618650500000,14.118429000000,67.700876
12/18/20 2:03,0.8626584900000,14.130219000000,67.300706
12/18/20 2:04,0.8632191500000,14.138536000000,67.410467
12/18/20 2:05,0.8638498100000,14.148107000000,65.887747
12/18/20 2:06,0.8645466900000,14.158163000000,69.306244
12/18/20 2:07,0.8651231600000,14.166527000000,68.923363
12/18/20 2:08,0.8654777100000,14.171742000000,67.973885
12/18/20 2:09,0.8660102600000,14.179607000000,67.714021
12/18/20 2:10,0.8664539900000,14.186139000000,67.931098
12/18/20 2:11,0.8670678000000,14.195440000000,65.998392
12/18/20 2:12,0.8676630700000,14.204395000000,66.467929
12/18/20 2:13,0.8682861700000,14.213470000000,68.667321
12/18/20 2:14,0.8688946400000,14.222399000000,68.144311
12/18/20 2:15,0.8692463000000,14.227689000000,66.465716
12/18/20 2:16,0.8695939000000,14.232940000000,66.208893
12/18/20 2:17,0.8698402200000,14.236448000000,70.212776
12/18/20 2:18,0.8700274200000,14.239102000000,70.541534
12/18/20 2:19,0.8701596600000,14.241033000000,68.471793
12/18/20 2:20,0.8703555900000,14.243889000000,68.608568
12/18/20 2:21,0.8705036500000,14.246043000000,68.727290
12/18/20 2:22,0.8708575700000,14.250942000000,72.237117
12/18/20 2:23,0.8713705500000,14.258135000000,71.315969
12/18/20 2:24,0.8718430600000,14.264677000000,72.233662
12/18/20 2:25,0.8726778400000,14.275730000000,75.521620
12/18/20 2:26,0.8733302400000,14.284572000000,73.785440
12/18/20 2:27,0.8738523000000,14.291563000000,74.681263
12/18/20 2:28,0.8743081600000,14.297756000000,73.604826
12/18/20 2:29,0.8747751200000,14.304083000000,73.806995
12/18/20 2:30,0.8751948300000,14.309666000000,75.175601
12/18/20 2:31,0.8756834700000,14.316251000000,74.197406
12/18/20 2:32,0.8761584100000,14.322553000000,75.365672
12/18/20 2:33,0.8766920300000,14.329724000000,74.419647
12/18/20 2:34,0.8772251200000,14.336921000000,74.064409
12/18/20 2:35,0.8774040500000,14.339457000000,70.578555
12/18/20 2:36,0.8774979500000,14.340767000000,71.673364
12/18/20 2:37,0.8778641100000,14.345818000000,72.494997
12/18/20 2:38,0.8782302900000,14.350976000000,70.987162
12/18/20 2:39,0.8784209800000,14.353656000000,71.151631
12/18/20 2:40,0.8786291700000,14.356539000000,72.216731
12/18/20 2:41,0.8788933100000,14.360271000000,70.767819
12/18/20 2:42,0.8793550900000,14.366672000000,72.144610
12/18/20 2:43,0.8797073600000,14.371380000000,74.826456
12/18/20 2:44,0.8799233300000,14.374373000000,72.157616
12/18/20 2:45,0.8801148700000,14.376974000000,73.649010
12/18/20 2:46,0.8805450900000,14.382818000000,73.615201
12/18/20 2:47,0.8813213500000,14.393108000000,75.435232
12/18/20 2:48,0.8817412400000,14.398860000000,73.002792
12/18/20 2:49,0.8821208200000,14.404051000000,73.124721
12/18/20 2:50,0.8827080100000,14.412130000000,72.683364
12/18/20 2:51,0.8830514200000,14.416756000000,74.222788
12/18/20 2:52,0.8834331800000,14.421891000000,74.343282
12/18/20 2:53,0.8839696400000,14.429111000000,74.304403
12/18/20 2:54,0.8848282000000,14.440562000000,74.977543
12/18/20 2:55,0.8858911100000,14.454625000000,75.581673
12/18/20 2:56,0.8867188300000,14.465464000000,76.367882
12/18/20 2:57,0.8877955100000,14.479659000000,75.846442
12/18/20 2:58,0.8884653300000,14.488434000000,76.337003
12/18/20 2:59,0.8886916300000,14.491480000000,74.283601
12/18/20 3:00,0.8887755200000,14.492630000000,72.932016
12/18/20 3:01,0.8888474300000,14.493634000000,71.613535
12/18/20 3:02,0.8889733600000,14.495361000000,72.931299
12/18/20 3:03,0.8891851400000,14.498286000000,72.411138
12/18/20 3:04,0.8892869000000,14.499768000000,68.635604
12/18/20 3:05,0.8893471800000,14.500586000000,73.714960
12/18/20 3:06,0.8894406500000,14.501913000000,70.447899
12/18/20 3:07,0.8895588700000,14.503616000000,69.438917
12/18/20 3:08,0.8897520000000,14.506195000000,74.861357
12/18/20 3:09,0.8899459000000,14.508823000000,73.800687
12/18/20 3:10,0.8901232600000,14.511226000000,73.791460
12/18/20 3:11,0.8903906400000,14.515043000000,70.063440
12/18/20 3:12,0.8905966200000,14.517919000000,71.607477
12/18/20 3:13,0.8907754900000,14.520422000000,71.459356
12/18/20 3:14,0.8908685200000,14.521711000000,72.189512
12/18/20 3:15,0.8910098500000,14.523728000000,70.070969
12/18/20 3:16,0.8911724800000,14.525981000000,72.186211
12/18/20 3:17,0.8912769700000,14.527422000000,72.510868
12/18/20 3:18,0.8914397300000,14.529647000000,73.145806
12/18/20 3:19,0.8915401600000,14.531033000000,72.465975
12/18/20 3:20,0.8916338500000,14.532319000000,72.829742
12/18/20 3:21,0.8919128400000,14.536022000000,75.348096
12/18/20 3:22,0.8921642700000,14.539388000000,74.687135
12/18/20 3:23,0.8923864700000,14.542461000000,72.307446
12/18/20 3:24,0.8924497400000,14.543315000000,74.122370
12/18/20 3:25,0.8924869400000,14.543832000000,72.018325
12/18/20 3:26,0.8926585600000,14.546130000000,74.675185
12/18/20 3:27,0.8928237600000,14.548393000000,72.999084
12/18/20 3:28,0.8929985900000,14.550785000000,73.067971
12/18/20 3:29,0.8932194500000,14.553861000000,71.805819
12/18/20 3:30,0.8939784300000,14.563965000000,75.121051
12/18/20 3:31,0.8955375500000,14.585093000000,73.793964
12/18/20 3:32,0.8963816000000,14.596329000000,75.115717
12/18/20 3:33,0.8966051000000,14.599312000000,74.943564
12/18/20 3:34,0.8967057500000,14.600700000000,72.480226
12/18/20 3:35,0.8968935700000,14.603271000000,73.063073
12/18/20 3:36,0.8975009600000,14.611649000000,72.497861
12/18/20 3:37,0.8980167200000,14.618719000000,72.952235
12/18/20 3:38,0.8983360700000,14.623059000000,73.574147
12/18/20 3:39,0.8987474800000,14.628662000000,73.424619
12/18/20 3:40,0.8992701400000,14.635800000000,73.229881
12/18/20 3:41,0.8999314600000,14.644804000000,73.443289
12/18/20 3:42,0.9003865600000,14.650980000000,73.696233
12/18/20 3:43,0.9006575500000,14.654707000000,72.696837
12/18/20 3:44,0.9008166500000,14.656871000000,73.517436
12/18/20 3:45,0.9010140300000,14.659640000000,71.287273
12/18/20 3:46,0.9013576300000,14.664394000000,72.273737
